image_filename	text_label
8996001307847_nutrition_en_full_crop_0009.png	PER
8996001307847_nutrition_en_full_crop_0012.png	SERVING
8996001307847_nutrition_en_full_crop_0017.png	AN) a
8996001307847_nutrition_en_full_crop_0019.png	PER
8996001307847_nutrition_en_full_crop_0022.png	Selig tote
8996001307847_nutrition_en_full_crop_0025.png	arith
8996001307847_nutrition_en_full_crop_0029.png	4
8996001307847_nutrition_en_full_crop_0031.png	LO. a Onn avout
8996001307847_nutrition_en_full_crop_0034.png	uy
8996001307847_nutrition_en_full_crop_0041.png	rd
8996001307847_nutrition_en_full_crop_0043.png	Nici]
8996001307847_nutrition_en_full_crop_0047.png	pcr ad
8996001307847_nutrition_en_full_crop_0053.png	aca Cll
8996001307847_nutrition_en_full_crop_0057.png	ae}
8996001307847_nutrition_en_full_crop_0063.png	en
8996001307847_nutrition_en_full_crop_0066.png	Vitamin
8996001307847_nutrition_en_full_crop_0071.png	ae hea
8996001307847_nutrition_en_full_crop_0093.png	2150
8996001307847_nutrition_en_full_crop_0110.png	foil a
8997238580010_nutrition_en_full_crop_0005.png	Tig
8997238580010_nutrition_en_full_crop_0007.png	Sajian
8997238580010_nutrition_en_full_crop_0010.png	JUMLAH
8997238580010_nutrition_en_full_crop_0011.png	PER
8997238580010_nutrition_en_full_crop_0016.png	Total
8997238580010_nutrition_en_full_crop_0020.png	can
8997238580010_nutrition_en_full_crop_0055.png	rendah.
8997238580010_nutrition_en_full_crop_0056.png	ee
8997238580010_nutrition_en_full_crop_0063.png	ore ges |
8857124252547_nutrition_en_full_crop_0000.png	voualnbuinis
8857124252547_nutrition_en_full_crop_0001.png	nuonuovuUSLNA
8857124252547_nutrition_en_full_crop_0004.png	bOD
8857124252547_nutrition_en_full_crop_0007.png	S1UDUNUOYUSLNANO
8857124252547_nutrition_en_full_crop_0008.png	bOvD
8857124252547_nutrition_en_full_crop_0011.png	AtUMMOlNBUIMSfionUonUOYUSINA
8857124252547_nutrition_en_full_crop_0012.png	waoolunonun
8857124252547_nutrition_en_full_crop_0013.png	250
8857124252547_nutrition_en_full_crop_0014.png	lAaos
8857124252547_nutrition_en_full_crop_0015.png	Sova:vooUSUICNIU:UuInOSU
8857124252547_nutrition_en_full_crop_0016.png	lugunonua
8857124252547_nutrition_en_full_crop_0024.png	aisluleinsnnonua
8857124252547_nutrition_en_full_crop_0028.png	uma
8857124252547_nutrition_en_full_crop_0031.png	luifuu
8857124252547_nutrition_en_full_crop_0036.png	*Soua:vooUSUIMa Iso mMnsnilu:WHUSLNATODU
8857124252547_nutrition_en_full_crop_0037.png	a¢nnsuaulnyoweouci
8857124252547_nutrition_en_full_crop_0038.png	Utulu(Thai
8857124252547_nutrition_en_full_crop_0039.png	lauAa
8857124252547_nutrition_en_full_crop_0042.png	Alaunaos
8857124252547_nutrition_en_full_crop_0043.png	DINADIWNOONISWadNIUDUA:
8857124252547_nutrition_en_full_crop_0044.png	2,
8857124252547_nutrition_en_full_crop_0046.png	LS IAALMAIINUAIWUNULIATA
8857124252547_nutrition_en_full_crop_0047.png	US lNAUAUOL
8857124252547_nutrition_en_full_crop_0048.png	Wavaanniainigiwaqguniw
8997033003585_nutrition_en_full_crop_0007.png	Takaran
8997033003585_nutrition_en_full_crop_0008.png	Saji
8997033003585_nutrition_en_full_crop_0012.png	Size
8997033003585_nutrition_en_full_crop_0013.png	309
8997033003585_nutrition_en_full_crop_0022.png	Tare
8997033003585_nutrition_en_full_crop_0026.png	":
&"
8997033003585_nutrition_en_full_crop_0039.png	Energi
8997033003585_nutrition_en_full_crop_0047.png	from
8997033003585_nutrition_en_full_crop_0053.png	& Daily
8997033003585_nutrition_en_full_crop_0081.png	5%
8997033003585_nutrition_en_full_crop_0085.png	Karbohidrat
8997033003585_nutrition_en_full_crop_0102.png	S3img
8997033003585_nutrition_en_full_crop_0112.png	135mg
8997033003585_nutrition_en_full_crop_0117.png	rR
8997033003585_nutrition_en_full_crop_0119.png	tut
8997033003585_nutrition_en_full_crop_0133.png	a
8997225122506_nutrition_en_full_crop_0003.png	Nutrition
8997225122506_nutrition_en_full_crop_0006.png	=
8997225122506_nutrition_en_full_crop_0011.png	than
8997225122506_nutrition_en_full_crop_0012.png	tetvr
8997225122506_nutrition_en_full_crop_0013.png	Serving
8997225122506_nutrition_en_full_crop_0017.png	Consumer
8997225122506_nutrition_en_full_crop_0021.png	Values’
8997225122506_nutrition_en_full_crop_0022.png	pean ly
8997225122506_nutrition_en_full_crop_0025.png	Te
8997225122506_nutrition_en_full_crop_0028.png	Fat
